${LS_COLORS:446:3} : .lz
${LS_COLORS:447:3} : lzh
${LS_COLORS:448:3} : zh=
${LS_COLORS:449:3} : h=0
${LS_COLORS:450:3} : =01
${LS_COLORS:451:3} : 01;
${LS_COLORS:452:3} : 1;3
${LS_COLORS:453:3} : ;31
${LS_COLORS:454:3} : 31
${LS_COLORS:455:3} : 1
${LS_COLORS:457:3} : *.l
${LS_COLORS:458:3} : .lz
${LS_COLORS:459:3} : lzm
${LS_COLORS:460:3} : zma
${LS_COLORS:461:3} : ma=
${LS_COLORS:462:3} : a=0
${LS_COLORS:463:3} : =01
${LS_COLORS:464:3} : 01;
${LS_COLORS:465:3} : 1;3
${LS_COLORS:466:3} : ;31
${LS_COLORS:467:3} : 31
${LS_COLORS:468:3} : 1
${LS_COLORS:470:3} : *.l
${LS_COLORS:471:3} : .lz
${LS_COLORS:472:3} : lzo
${LS_COLORS:473:3} : zo=
${LS_COLORS:474:3} : o=0
${LS_COLORS:475:3} : =01
${LS_COLORS:476:3} : 01;
${LS_COLORS:477:3} : 1;3
${LS_COLORS:478:3} : ;31
${LS_COLORS:479:3} : 31
${LS_COLORS:480:3} : 1
${LS_COLORS:482:3} : *.p
${LS_COLORS:483:3} : .py
${LS_COLORS:484:3} : pyz
${LS_COLORS:485:3} : yz=
${LS_COLORS:486:3} : z=0
${LS_COLORS:487:3} : =01
${LS_COLORS:488:3} : 01;
${LS_COLORS:489:3} : 1;3
${LS_COLORS:490:3} : ;31
${LS_COLORS:491:3} : 31
${LS_COLORS:492:3} : 1
${LS_COLORS:494:3} : *.r
${LS_COLORS:495:3} : .ra
${LS_COLORS:496:3} : rar
${LS_COLORS:497:3} : ar=
${LS_COLORS:498:3} : r=0
${LS_COLORS:499:3} : =01
${LS_COLORS:500:3} : 01;
${LS_COLORS:501:3} : 1;3
${LS_COLORS:502:3} : ;31
${LS_COLORS:503:3} : 31
${LS_COLORS:504:3} : 1
${LS_COLORS:506:3} : *.r
${LS_COLORS:507:3} : .rp
${LS_COLORS:508:3} : rpm
${LS_COLORS:509:3} : pm=
${LS_COLORS:510:3} : m=0
${LS_COLORS:511:3} : =01
${LS_COLORS:512:3} : 01;
${LS_COLORS:513:3} : 1;3
${LS_COLORS:514:3} : ;31
${LS_COLORS:515:3} : 31
${LS_COLORS:516:3} : 1
${LS_COLORS:518:3} : *.r
${LS_COLORS:519:3} : .rz
${LS_COLORS:520:3} : rz=
${LS_COLORS:521:3} : z=0
${LS_COLORS:522:3} : =01
${LS_COLORS:523:3} : 01;
${LS_COLORS:524:3} : 1;3
${LS_COLORS:525:3} : ;31
${LS_COLORS:526:3} : 31
${LS_COLORS:527:3} : 1
${LS_COLORS:529:3} : *.s
${LS_COLORS:530:3} : .sa
${LS_COLORS:531:3} : sar
${LS_COLORS:532:3} : ar=
${LS_COLORS:533:3} : r=0
${LS_COLORS:534:3} : =01
${LS_COLORS:535:3} : 01;
${LS_COLORS:536:3} : 1;3
${LS_COLORS:537:3} : ;31
${LS_COLORS:538:3} : 31
${LS_COLORS:539:3} : 1
${LS_COLORS:541:3} : *.s
${LS_COLORS:542:3} : .sw
${LS_COLORS:543:3} : swm
${LS_COLORS:544:3} : wm=
${LS_COLORS:545:3} : m=0
${LS_COLORS:546:3} : =01
${LS_COLORS:547:3} : 01;
${LS_COLORS:548:3} : 1;3
${LS_COLORS:549:3} : ;31
${LS_COLORS:550:3} : 31
${LS_COLORS:551:3} : 1
${LS_COLORS:553:3} : *.t
${LS_COLORS:554:3} : .t7
${LS_COLORS:555:3} : t7z
${LS_COLORS:556:3} : 7z=
${LS_COLORS:557:3} : z=0
${LS_COLORS:558:3} : =01
${LS_COLORS:559:3} : 01;
${LS_COLORS:560:3} : 1;3
${LS_COLORS:561:3} : ;31
${LS_COLORS:562:3} : 31
${LS_COLORS:563:3} : 1
${LS_COLORS:565:3} : *.t
${LS_COLORS:566:3} : .ta
${LS_COLORS:567:3} : tar
${LS_COLORS:568:3} : ar=
${LS_COLORS:569:3} : r=0
${LS_COLORS:570:3} : =01
${LS_COLORS:571:3} : 01;
${LS_COLORS:572:3} : 1;3
${LS_COLORS:573:3} : ;31
${LS_COLORS:574:3} : 31
${LS_COLORS:575:3} : 1
${LS_COLORS:577:3} : *.t
${LS_COLORS:578:3} : .ta
${LS_COLORS:579:3} : taz
${LS_COLORS:580:3} : az=
${LS_COLORS:581:3} : z=0
${LS_COLORS:582:3} : =01
${LS_COLORS:583:3} : 01;
${LS_COLORS:584:3} : 1;3
${LS_COLORS:585:3} : ;31
${LS_COLORS:586:3} : 31
${LS_COLORS:587:3} : 1
${LS_COLORS:589:3} : *.t
${LS_COLORS:590:3} : .tb
${LS_COLORS:591:3} : tbz
${LS_COLORS:592:3} : bz=
${LS_COLORS:593:3} : z=0
${LS_COLORS:594:3} : =01
${LS_COLORS:595:3} : 01;
${LS_COLORS:596:3} : 1;3
${LS_COLORS:597:3} : ;31
${LS_COLORS:598:3} : 31
${LS_COLORS:599:3} : 1
${LS_COLORS:601:3} : *.t
${LS_COLORS:602:3} : .tb
${LS_COLORS:603:3} : tbz
${LS_COLORS:604:3} : bz2
${LS_COLORS:605:3} : z2=
${LS_COLORS:606:3} : 2=0
${LS_COLORS:607:3} : =01
${LS_COLORS:608:3} : 01;
${LS_COLORS:609:3} : 1;3
${LS_COLORS:610:3} : ;31
${LS_COLORS:611:3} : 31
${LS_COLORS:612:3} : 1
${LS_COLORS:614:3} : *.t
${LS_COLORS:615:3} : .tg
${LS_COLORS:616:3} : tgz
${LS_COLORS:617:3} : gz=
${LS_COLORS:618:3} : z=0
${LS_COLORS:619:3} : =01
${LS_COLORS:620:3} : 01;
${LS_COLORS:621:3} : 1;3
${LS_COLORS:622:3} : ;31
${LS_COLORS:623:3} : 31
${LS_COLORS:624:3} : 1
${LS_COLORS:626:3} : *.t
${LS_COLORS:627:3} : .tl
${LS_COLORS:628:3} : tlz
${LS_COLORS:629:3} : lz=
${LS_COLORS:630:3} : z=0
${LS_COLORS:631:3} : =01
${LS_COLORS:632:3} : 01;
${LS_COLORS:633:3} : 1;3
${LS_COLORS:634:3} : ;31
${LS_COLORS:635:3} : 31
${LS_COLORS:636:3} : 1
${LS_COLORS:638:3} : *.t
${LS_COLORS:639:3} : .tx
${LS_COLORS:640:3} : txz
${LS_COLORS:641:3} : xz=
${LS_COLORS:642:3} : z=0
${LS_COLORS:643:3} : =01
${LS_COLORS:644:3} : 01;
${LS_COLORS:645:3} : 1;3
${LS_COLORS:646:3} : ;31
${LS_COLORS:647:3} : 31
${LS_COLORS:648:3} : 1
${LS_COLORS:650:3} : *.t
${LS_COLORS:651:3} : .tz
${LS_COLORS:652:3} : tz=
${LS_COLORS:653:3} : z=0
